,Date,Number of NaNs
289,2001-11-04,0
290,2001-11-05,22
291,2001-11-06,76
292,2001-11-07,63
293,2001-11-08,111
294,2001-11-09,140
295,2001-11-10,7
296,2001-11-11,102
297,2001-11-12,98
298,2001-11-13,85
299,2001-11-14,44
300,2001-11-15,0
301,2001-11-16,0
302,2001-11-17,0
303,2001-11-18,25
304,2001-11-19,48
305,2001-11-20,2
306,2001-11-21,1
307,2001-11-22,56
308,2001-11-23,118
309,2001-11-24,39
310,2001-11-25,77
311,2001-11-26,48
312,2001-11-27,140
313,2001-11-28,35
314,2001-11-29,32
315,2001-11-30,37
316,2001-12-01,116
317,2001-12-02,72
318,2001-12-03,7
319,2001-12-04,115
320,2001-12-05,41
321,2001-12-06,133
322,2001-12-07,51
323,2001-12-08,7
324,2001-12-09,0
325,2001-12-10,0
326,2001-12-11,57
327,2001-12-12,19
328,2001-12-13,89
329,2001-12-14,0
330,2001-12-15,2
331,2001-12-16,1
332,2001-12-17,62
333,2001-12-18,0
334,2001-12-19,0
335,2001-12-20,18
336,2001-12-21,0
337,2001-12-22,106
338,2001-12-23,10
339,2001-12-24,0
340,2001-12-25,132
341,2001-12-26,136
342,2001-12-27,1
343,2001-12-28,34
344,2001-12-29,116
345,2001-12-30,9
346,2001-12-31,83
347,2002-01-01,6
348,2002-01-02,0
349,2002-01-04,0
350,2002-01-05,0
351,2002-01-06,0
352,2002-01-07,31
353,2002-01-08,47
354,2002-01-09,0
355,2002-01-10,0
356,2002-01-11,0
357,2002-01-12,40
358,2002-01-13,15
359,2002-01-14,10
360,2002-01-15,12
361,2002-01-16,21
362,2002-01-17,5
363,2002-01-18,0
364,2002-01-19,47
365,2002-01-20,11
366,2002-01-21,126
367,2002-01-22,19
368,2002-01-23,106
369,2002-01-24,140
370,2002-01-25,9
371,2002-01-26,83
372,2002-01-27,140
373,2002-01-28,130
374,2002-01-29,27
375,2002-01-30,132
376,2002-01-31,138
377,2002-02-01,14
378,2002-02-02,0
379,2002-02-03,0
380,2002-02-04,102
381,2002-02-05,109
382,2002-02-06,140
383,2002-02-07,114
384,2002-02-08,129
385,2002-02-09,90
386,2002-02-10,91
387,2002-02-11,108
388,2002-02-12,0
389,2002-02-13,23
390,2002-02-14,139
391,2002-02-15,122
392,2002-02-16,114
393,2002-02-17,106
394,2002-02-18,27
395,2002-02-19,58
396,2002-02-20,140
397,2002-02-21,140
398,2002-02-22,100
399,2002-02-23,63
400,2002-02-24,136
401,2002-02-25,20
402,2002-02-26,140
403,2002-02-27,118
404,2002-02-28,136
405,2002-03-01,130
406,2002-03-02,140
407,2002-03-03,133
408,2002-03-04,0
409,2002-03-05,39
410,2002-03-06,104
411,2002-03-07,83
412,2002-03-08,20
413,2002-03-09,0
414,2002-03-10,4
415,2002-03-11,0
416,2002-03-12,101
417,2002-03-13,0
418,2002-03-14,69
419,2002-03-15,90
420,2002-03-16,13
421,2002-03-17,89
422,2002-03-18,34
423,2002-03-19,140
424,2002-03-28,140
425,2002-03-29,0
426,2002-03-30,0
427,2002-03-31,56
428,2002-04-01,60
429,2002-04-02,7
430,2002-04-03,83
431,2002-04-04,78
432,2002-04-05,32
433,2002-04-06,24
434,2002-04-07,140
435,2002-04-08,140
436,2002-04-09,136
437,2002-04-10,126
438,2002-04-11,140
439,2002-04-12,140
440,2002-04-13,137
441,2002-04-14,135
442,2002-04-16,136
443,2002-04-17,130
444,2002-04-18,50
445,2002-04-19,117
446,2002-04-20,140
447,2002-04-21,127
448,2002-04-22,37
449,2002-04-23,26
450,2002-04-24,140
451,2002-04-25,82
452,2002-04-26,99
453,2002-04-27,63
454,2002-04-28,71
455,2002-04-29,133
456,2002-04-30,86
457,2002-05-01,128
458,2002-05-02,132
459,2002-05-03,136
460,2002-05-04,140
461,2002-05-05,132
462,2002-05-06,119
463,2002-05-07,0
464,2002-05-08,140
465,2002-05-09,134
466,2002-05-10,132
467,2002-05-11,139
468,2002-05-12,133
469,2002-05-13,116
470,2002-05-14,93
471,2002-05-15,14
472,2002-05-16,0
473,2002-05-17,16
474,2002-05-18,36
475,2002-05-19,132
476,2002-05-20,139
477,2002-05-21,38
478,2002-05-22,113
479,2002-05-23,140
480,2002-05-24,111
481,2002-05-25,122
482,2002-05-26,83
483,2002-05-27,140
484,2002-05-28,140
485,2002-05-29,61
486,2002-05-30,0
487,2002-05-31,46
488,2002-06-01,0
489,2002-06-02,28
490,2002-06-03,129
491,2002-06-04,26
492,2002-06-05,130
493,2002-06-06,127
494,2002-06-07,140
495,2002-06-08,128
496,2002-06-09,139
497,2002-06-10,83
498,2002-06-11,2
499,2002-06-12,69
500,2002-06-13,32
501,2002-06-14,0
502,2002-06-15,2
503,2002-06-16,69
504,2002-06-17,0
505,2002-06-18,21
506,2002-06-19,0
507,2002-06-20,4
508,2002-06-21,80
509,2002-06-22,0
510,2002-06-23,0
511,2002-06-24,91
512,2002-06-25,110
513,2002-06-26,5
514,2002-06-27,19
515,2002-06-28,140
516,2002-06-29,11
517,2002-06-30,85
518,2002-07-01,10
519,2002-07-02,140
520,2002-07-03,86
521,2002-07-04,53
522,2002-07-05,46
523,2002-07-06,139
524,2002-07-07,26
525,2002-07-08,0
526,2002-07-09,0
527,2002-07-10,37
528,2002-07-11,96
529,2002-07-12,11
530,2002-07-13,137
531,2002-07-14,102
532,2002-07-15,134
533,2002-07-16,140
534,2002-07-17,139
535,2002-07-18,73
536,2002-07-19,27
537,2002-07-20,4
538,2002-07-21,78
539,2002-07-22,55
540,2002-07-23,0
541,2002-07-24,90
542,2002-07-25,101
543,2002-07-26,107
544,2002-07-27,60
545,2002-07-28,0
546,2002-07-29,57
547,2002-07-30,16
548,2002-07-31,52
549,2002-08-01,71
550,2002-08-02,4
551,2002-08-03,28
552,2002-08-04,10
553,2002-08-05,95
554,2002-08-06,140
555,2002-08-07,74
556,2002-08-08,34
557,2002-08-09,136
558,2002-08-10,140
559,2002-08-11,140
560,2002-08-12,92
561,2002-08-13,48
562,2002-08-14,7
563,2002-08-15,0
564,2002-08-16,39
565,2002-08-17,5
566,2002-08-18,25
567,2002-08-19,0
568,2002-08-20,3
569,2002-08-21,132
570,2002-08-22,0
571,2002-08-23,103
572,2002-08-24,71
573,2002-08-25,5
574,2002-08-26,111
575,2002-08-27,126
576,2002-08-28,99
577,2002-08-29,78
578,2002-08-30,35
579,2002-08-31,29
580,2002-09-01,140
581,2002-09-02,59
582,2002-09-03,139
583,2002-09-04,122
584,2002-09-05,106
585,2002-09-06,80
586,2002-09-07,50
587,2002-09-08,58
588,2002-09-09,60
589,2002-09-10,103
590,2002-09-11,129
591,2002-09-12,4
592,2002-09-13,29
593,2002-09-14,0
594,2002-09-15,82
595,2002-09-16,26
596,2002-09-17,1
597,2002-09-18,0
598,2002-09-19,104
599,2002-09-20,128
600,2002-09-21,62
601,2002-09-22,129
602,2002-09-23,139
603,2002-09-24,140
604,2002-09-25,136
605,2002-09-26,86
606,2002-09-27,111
607,2002-09-28,9
608,2002-09-29,0
609,2002-09-30,0
610,2002-10-01,0
611,2002-10-02,61
612,2002-10-03,136
613,2002-10-04,140
614,2002-10-05,22
615,2002-10-06,118
616,2002-10-07,81
617,2002-10-08,64
618,2002-10-09,86
619,2002-10-10,114
620,2002-10-11,97
621,2002-10-12,137
622,2002-10-13,19
623,2002-10-14,132
624,2002-10-15,140
625,2002-10-16,101
626,2002-10-17,139
627,2002-10-18,12
628,2002-10-19,42
629,2002-10-20,95
630,2002-10-21,133
631,2002-10-22,118
632,2002-10-23,68
633,2002-10-24,9
634,2002-10-25,124
635,2002-10-26,0
636,2002-10-27,31
637,2002-10-28,23
638,2002-10-29,0
639,2002-10-30,33
640,2002-10-31,54
641,2002-11-01,0
642,2002-11-02,140
643,2002-11-03,139
644,2002-11-04,109
645,2002-11-05,120
646,2002-11-06,0
647,2002-11-07,105
648,2002-11-08,59
649,2002-11-09,127
650,2002-11-10,22
651,2002-11-11,74
652,2002-11-12,0
653,2002-11-13,136
654,2002-11-14,134
655,2002-11-15,140
656,2002-11-16,140
657,2002-11-17,110
658,2002-11-18,140
659,2002-11-19,124
660,2002-11-20,29
661,2002-11-21,139
662,2002-11-22,134
663,2002-11-23,2
664,2002-11-24,131
665,2002-11-25,137
666,2002-11-26,123
667,2002-11-27,110
668,2002-11-28,108
669,2002-11-29,124
670,2002-11-30,72
671,2002-12-01,0
672,2002-12-02,133
673,2002-12-03,124
674,2002-12-04,129
675,2002-12-05,100
676,2002-12-06,132
677,2002-12-07,98
678,2002-12-08,91
679,2002-12-09,100
680,2002-12-10,0
681,2002-12-11,6
682,2002-12-12,55
683,2002-12-13,118
684,2002-12-14,134
685,2002-12-15,135
686,2002-12-16,99
687,2002-12-17,66
688,2002-12-18,49
689,2002-12-19,0
690,2002-12-20,1
691,2002-12-21,140
692,2002-12-22,140
693,2002-12-23,26
694,2002-12-24,139
695,2002-12-25,112
696,2002-12-26,72
697,2002-12-27,140
698,2002-12-28,138
699,2002-12-29,14
700,2002-12-30,126
701,2002-12-31,140
702,2003-01-01,6
703,2003-01-02,140
704,2003-01-03,33
705,2003-01-04,24
706,2003-01-05,140
707,2003-01-06,84
708,2003-01-07,128
709,2003-01-08,49
710,2003-01-09,110
711,2003-01-10,98
712,2003-01-11,0
713,2003-01-12,0
714,2003-01-13,140
715,2003-01-14,75
716,2003-01-15,0
717,2003-01-16,140
718,2003-01-17,0
719,2003-01-18,13
720,2003-01-19,0
721,2003-01-20,76
722,2003-01-21,128
723,2003-01-22,81
724,2003-01-23,103
725,2003-01-24,54
726,2003-01-25,14
727,2003-01-26,102
728,2003-01-27,36
729,2003-01-28,104
730,2003-01-29,16
731,2003-01-30,135
732,2003-01-31,84
733,2003-02-02,89
734,2003-02-03,77
735,2003-02-04,140
736,2003-02-05,33
737,2003-02-06,108
738,2003-02-07,0
739,2003-02-08,44
740,2003-02-09,2
741,2003-02-10,0
742,2003-02-11,0
743,2003-02-12,13
744,2003-02-13,16
745,2003-02-14,69
746,2003-02-15,0
747,2003-02-16,76
748,2003-02-17,1
749,2003-02-18,1
750,2003-02-19,0
751,2003-02-20,0
752,2003-02-21,0
753,2003-02-22,0
754,2003-02-23,0
755,2003-02-24,0
756,2003-02-25,0
757,2003-02-26,2
758,2003-02-27,0
759,2003-02-28,16
760,2003-03-01,134
761,2003-03-02,92
762,2003-03-03,91
763,2003-03-04,0
764,2003-03-05,12
765,2003-03-06,128
766,2003-03-07,33
767,2003-03-08,64
768,2003-03-09,140
769,2003-03-10,79
770,2003-03-11,79
771,2003-03-12,79
772,2003-03-13,29
773,2003-03-14,14
774,2003-03-15,17
775,2003-03-16,6
776,2003-03-17,111
777,2003-03-18,0
778,2003-03-19,1
779,2003-03-20,4
780,2003-03-21,0
781,2003-03-22,10
782,2003-03-23,0
783,2003-03-24,0
784,2003-03-25,0
785,2003-03-26,7
786,2003-03-27,20
787,2003-03-28,15
788,2003-03-29,42
789,2003-03-30,14
790,2003-03-31,139
791,2003-04-01,0
792,2003-04-02,140
793,2003-04-03,116
794,2003-04-04,78
795,2003-04-05,0
796,2003-04-06,48
797,2003-04-07,125
798,2003-04-08,0
799,2003-04-09,134
800,2003-04-10,140
801,2003-04-11,113
802,2003-04-12,138
803,2003-04-13,0
804,2003-04-14,7
805,2003-04-15,84
806,2003-04-16,5
807,2003-04-17,5
808,2003-04-18,10
809,2003-04-19,128
810,2003-04-20,140
811,2003-04-21,104
812,2003-04-22,107
813,2003-04-23,115
814,2003-04-24,6
815,2003-04-25,68
816,2003-04-26,77
817,2003-04-27,94
818,2003-04-28,125
819,2003-04-29,55
820,2003-04-30,140
821,2003-05-01,79
822,2003-05-02,111
823,2003-05-03,52
824,2003-05-04,0
825,2003-05-05,0
826,2003-05-06,19
827,2003-05-07,0
828,2003-05-08,77
829,2003-05-09,140
830,2003-05-10,136
831,2003-05-11,131
832,2003-05-12,123
833,2003-05-13,139
834,2003-05-14,90
835,2003-05-15,63
836,2003-05-16,23
837,2003-05-17,111
838,2003-05-18,105
839,2003-05-19,2
840,2003-05-20,140
841,2003-05-21,75
842,2003-05-22,95
843,2003-05-23,48
844,2003-05-24,22
845,2003-05-25,18
846,2003-05-26,34
847,2003-05-27,140
848,2003-05-28,60
849,2003-05-29,135
850,2003-05-30,64
851,2003-05-31,69
852,2003-06-01,7
853,2003-06-02,20
854,2003-06-03,6
855,2003-06-04,2
856,2003-06-05,63
857,2003-06-06,75
858,2003-06-07,89
859,2003-06-08,43
860,2003-06-09,66
861,2003-06-10,0
862,2003-06-11,23
863,2003-06-12,45
864,2003-06-13,5
